Voltage[V]	Current[mA]
0.000000	1.925509E-8
0.001000	2.045441E-8
0.002000	2.019148E-8
0.003000	3.991475E-9
0.004000	3.252065E-8
0.005000	3.002816E-8
0.006000	1.367415E-7
0.007000	1.222838E-7
0.008000	3.444339E-8
0.009000	3.590316E-9
0.010000	3.818561E-8
0.011000	4.509395E-8
0.012000	5.428540E-8
0.013000	4.833545E-8
0.014000	4.845858E-8
0.015000	3.158744E-8
0.016000	2.615502E-8
0.017000	2.054742E-8
0.018000	2.201883E-8
0.019000	7.010020E-8
0.020000	7.353389E-8
0.021000	5.145300E-8
0.022000	2.552831E-8
0.023000	3.675231E-8
0.024000	9.703312E-8
0.025000	9.394135E-8
0.026000	9.327634E-8
0.027000	6.682040E-8
0.028000	5.801389E-8
0.029000	6.342481E-8
0.030000	7.366664E-8
0.031000	1.166997E-7
0.032000	1.192233E-7
0.033000	1.115673E-7
0.034000	1.165399E-7
0.035000	1.092297E-7
0.036000	1.318663E-7
0.037000	4.784548E-7
0.038000	2.995441E-7
0.039000	1.418549E-7
0.040000	4.249111E-7
0.041000	4.116096E-7
0.042000	1.627555E-7
0.043000	2.939333E-7
0.044000	1.306498E-7
0.045000	1.255732E-7
0.046000	1.429860E-7
0.047000	1.517712E-7
0.048000	2.022849E-7
0.049000	2.098738E-7
0.050000	1.725310E-7
0.051000	1.648931E-7
0.052000	1.863866E-7
0.053000	2.479081E-7
0.054000	2.565544E-7
0.055000	2.872003E-7
0.056000	2.002944E-7
0.057000	2.347376E-7
0.058000	2.853401E-7
0.059000	2.183689E-7
0.060000	2.780404E-7
0.061000	2.583458E-7
0.062000	3.266652E-7
0.063000	3.169458E-7
0.064000	2.654451E-7
0.065000	2.838903E-7
0.066000	3.685395E-7
0.067000	3.843461E-7
0.068000	3.084824E-7
0.069000	8.380416E-8
0.070000	1.310773E-7
0.071000	2.814488E-7
0.072000	1.027289E-6
0.073000	9.513867E-7
0.074000	4.529090E-8
0.075000	1.893380E-7
0.076000	5.991189E-7
0.077000	9.706802E-7
0.078000	5.797917E-9
0.079000	5.562510E-7
0.080000	1.025322E-6
0.081000	3.072994E-7
0.082000	4.979882E-8
0.083000	5.519358E-7
0.084000	1.101486E-6
0.085000	1.831510E-7
0.086000	5.276348E-7
0.087000	1.226883E-6
0.088000	7.665525E-7
0.089000	1.779496E-7
0.090000	7.252907E-7
0.091000	1.260415E-6
0.092000	8.891939E-7
0.093000	2.568761E-7
0.094000	9.919439E-7
0.095000	8.927758E-7
0.096000	3.439673E-7
0.097000	8.593916E-7
0.098000	1.448776E-6
0.099000	1.263376E-6
0.100000	4.501655E-7
0.101000	1.261672E-6
0.102000	1.514809E-6
0.103000	1.104121E-6
0.104000	6.094539E-7
0.105000	4.635451E-7
0.106000	1.116710E-6
0.107000	1.758489E-6
0.108000	7.209180E-7
0.109000	6.768157E-7
0.110000	1.922042E-6
0.111000	1.846167E-6
0.112000	1.705168E-6
0.113000	8.814611E-7
0.114000	1.353647E-6
0.115000	1.153374E-6
0.116000	8.120710E-7
0.117000	1.839877E-6
0.118000	1.846475E-6
0.119000	1.166292E-6
0.120000	1.196640E-6
0.121000	1.967485E-6
0.122000	1.272008E-6
0.123000	1.985097E-6
0.124000	1.229618E-6
0.125000	1.718621E-6
0.126000	1.417898E-6
0.127000	1.936648E-6
0.128000	1.544776E-6
0.129000	1.669768E-6
0.130000	2.573407E-6
0.131000	1.750016E-6
0.132000	2.692289E-6
0.133000	1.894061E-6
0.134000	2.601666E-6
0.135000	2.898309E-6
0.136000	2.078617E-6
0.137000	2.733410E-6
0.138000	2.996076E-6
0.139000	2.308739E-6
