Voltage[V]	Current[mA]
50.000000	4.033973E-6
50.010000	4.837441E-6
50.020000	3.231076E-6
50.030000	3.761930E-6
50.040000	4.941067E-6
50.050000	4.869283E-6
50.060000	3.328918E-6
50.070000	3.392705E-6
50.080000	4.989615E-6
50.090000	4.256833E-6
50.100000	3.477980E-6
50.110000	4.879070E-6
50.120000	4.858896E-6
50.130000	3.137061E-6
50.140000	3.413831E-6
50.150000	5.073300E-6
50.160000	4.910735E-6
50.170000	3.536683E-6
50.180000	3.979066E-6
50.190000	5.110385E-6
50.200000	4.044353E-6
50.210000	3.491504E-6
50.220000	4.870726E-6
50.230000	4.949213E-6
50.240000	3.176370E-6
50.250000	3.513222E-6
50.260000	5.140691E-6
50.270000	4.606030E-6
50.280000	3.560779E-6
50.290000	5.215100E-6
50.300000	5.227095E-6
50.310000	4.412732E-6
50.320000	3.599334E-6
50.330000	5.163430E-6
50.340000	5.090398E-6
50.350000	3.627297E-6
50.360000	4.509160E-6
50.370000	5.172039E-6
50.380000	3.317091E-6
50.390000	3.555018E-6
50.400000	5.213823E-6
50.410000	4.673881E-6
50.420000	3.671319E-6
50.430000	5.221242E-6
50.440000	5.278128E-6
50.450000	3.570607E-6
50.460000	3.645463E-6
50.470000	5.307152E-6
50.480000	3.503005E-6
50.490000	4.439528E-6
50.500000	5.350377E-6
50.510000	3.296667E-6
50.520000	3.630775E-6
50.530000	5.567216E-6
50.540000	4.190502E-6
50.550000	3.742067E-6
50.560000	4.463915E-6
50.570000	5.440050E-6
50.580000	3.851227E-6
50.590000	3.695619E-6
50.600000	5.516421E-6
50.610000	4.736437E-6
50.620000	3.561145E-6
50.630000	3.747874E-6
50.640000	4.821271E-6
50.650000	5.528898E-6
50.660000	4.094110E-6
50.670000	3.818782E-6
50.680000	4.235521E-6
50.690000	5.587629E-6
50.700000	4.287239E-6
50.710000	3.857195E-6
50.720000	5.148526E-6
50.730000	5.856182E-6
50.740000	5.124394E-6
50.750000	3.456277E-6
50.760000	3.852801E-6
50.770000	5.526470E-6
50.780000	5.744679E-6
50.790000	4.530736E-6
50.800000	3.919099E-6
50.810000	4.971770E-6
50.820000	5.981050E-6
50.830000	5.482163E-6
50.840000	4.539523E-6
50.850000	3.725169E-6
50.860000	5.375510E-6
50.870000	3.569766E-6
50.880000	3.896595E-6
50.890000	6.084260E-6
50.900000	6.077132E-6
50.910000	3.970051E-6
50.920000	4.587078E-6
50.930000	5.343769E-6
50.940000	3.516764E-6
50.950000	5.462462E-6
50.960000	4.127337E-6
50.970000	4.115719E-6
50.980000	5.671137E-6
50.990000	4.131511E-6
51.000000	4.152233E-6
51.010000	4.129589E-6
51.020000	4.149486E-6
51.030000	4.147849E-6
51.040000	4.185650E-6
51.050000	4.173311E-6
51.060000	3.999627E-6
51.070000	5.370587E-6
51.080000	4.439122E-6
51.090000	3.762458E-6
51.100000	4.073680E-6
51.110000	5.146289E-6
51.120000	4.125056E-6
51.130000	5.061281E-6
51.140000	6.594307E-6
51.150000	4.197382E-6
51.160000	4.150540E-6
51.170000	5.349607E-6
51.180000	3.879853E-6
51.190000	6.628856E-6
51.200000	4.444814E-6
51.210000	4.300444E-6
51.220000	4.262652E-6
51.230000	5.019494E-6
51.240000	6.347425E-6
51.250000	6.049358E-6
51.260000	4.105968E-6
51.270000	4.270029E-6
51.280000	3.585766E-6
51.290000	5.103603E-6
51.300000	6.921606E-6
51.310000	4.222187E-6
51.320000	6.031407E-6
51.330000	6.383856E-6
51.340000	4.099052E-6
51.350000	6.999238E-6
51.360000	4.271209E-6
51.370000	4.272439E-6
51.380000	4.435830E-6
51.390000	5.844452E-6
51.400000	4.522703E-6
51.410000	6.329642E-6
51.420000	4.388339E-6
51.430000	7.538679E-6
51.440000	4.628145E-6
51.450000	7.362897E-6
51.460000	5.513465E-6
51.470000	7.603837E-6
51.480000	4.958859E-6
51.490000	7.611692E-6
51.500000	4.923412E-6
51.510000	5.163485E-6
51.520000	6.965247E-6
51.530000	4.737895E-6
51.540000	6.422860E-6
51.550000	7.415390E-6
51.560000	5.318369E-6
51.570000	4.781992E-6
51.580000	4.981649E-6
51.590000	6.701112E-6
51.600000	5.262859E-6
51.610000	6.610829E-6
51.620000	5.690342E-6
51.630000	6.960175E-6
51.640000	6.681597E-6
51.650000	6.896529E-6
51.660000	7.165656E-6
51.670000	7.449163E-6
51.680000	7.799627E-6
51.690000	8.141188E-6
51.700000	8.477624E-6
51.710000	8.856011E-6
51.720000	9.187406E-6
51.730000	9.576709E-6
51.740000	9.779083E-6
51.750000	1.217094E-5
51.760000	1.076745E-5
51.770000	1.133485E-5
51.780000	1.175638E-5
51.790000	1.223621E-5
51.800000	1.278328E-5
51.810000	1.415918E-5
51.820000	1.672046E-5
51.830000	1.549382E-5
51.840000	1.733715E-5
51.850000	1.594770E-5
51.860000	1.540741E-5
51.870000	1.822347E-5
51.880000	1.836290E-5
51.890000	1.828614E-5
51.900000	1.991546E-5
51.910000	1.946265E-5
51.920000	2.065060E-5
51.930000	2.012796E-5
51.940000	2.103262E-5
51.950000	2.175309E-5
51.960000	2.234449E-5
51.970000	2.332577E-5
51.980000	2.389575E-5
51.990000	2.441915E-5
52.000000	2.534210E-5
52.010000	2.606272E-5
52.020000	2.662519E-5
52.030000	2.767341E-5
52.040000	2.853861E-5
52.050000	2.915631E-5
52.060000	3.011453E-5
52.070000	3.104703E-5
52.080000	3.137551E-5
52.090000	3.233031E-5
52.100000	3.328987E-5
52.110000	3.426993E-5
52.120000	3.499042E-5
52.130000	3.582229E-5
