Voltage[V]	Current[mA]
0,000000	7,142497E-8
0,010000	3,188314E-6
0,020000	6,242113E-6
0,030000	9,362415E-6
0,040000	1,255671E-5
0,050000	1,572972E-5
0,060000	1,794877E-5
0,070000	1,794896E-5
0,080000	1,795282E-5
0,090000	1,795049E-5
0,100000	1,795141E-5
0,110000	1,795256E-5
0,120000	1,795230E-5
0,130000	1,795670E-5
0,140000	1,795527E-5
0,150000	1,797691E-5
0,160000	1,797704E-5
0,170000	1,797873E-5
0,180000	1,797757E-5
0,190000	1,797664E-5
0,200000	1,797521E-5
0,210000	1,797781E-5
0,220000	1,797778E-5
0,230000	1,797767E-5
0,240000	1,797622E-5
0,250000	1,797588E-5
0,260000	1,797619E-5
0,270000	1,797359E-5
0,280000	1,797514E-5
0,290000	1,797256E-5
0,300000	1,797332E-5
0,310000	1,797494E-5
0,320000	1,797513E-5
0,330000	1,797299E-5
0,340000	1,795436E-5
0,350000	1,795488E-5
0,360000	1,795307E-5
0,370000	1,795265E-5
0,380000	1,795573E-5
0,390000	1,796236E-5
0,400000	1,796083E-5
0,410000	1,796128E-5
0,420000	1,795999E-5
0,430000	1,796089E-5
0,440000	1,795963E-5
0,450000	1,796178E-5
0,460000	1,796077E-5
0,470000	1,796185E-5
0,480000	1,796320E-5
0,490000	1,796197E-5
0,500000	1,796168E-5
0,510000	1,795849E-5
0,520000	1,796007E-5
0,530000	1,795939E-5
0,540000	1,795834E-5
0,550000	1,795818E-5
0,560000	1,795826E-5
0,570000	1,795912E-5
0,580000	1,795888E-5
0,590000	1,796010E-5
0,600000	1,796055E-5
0,610000	1,796117E-5
0,620000	1,796015E-5
0,630000	1,796299E-5
0,640000	1,795944E-5
0,650000	1,796001E-5
0,660000	1,795923E-5
0,670000	1,796140E-5
0,680000	1,796038E-5
0,690000	1,796022E-5
0,700000	1,796198E-5
0,710000	1,796376E-5
0,720000	1,796316E-5
0,730000	1,795977E-5
0,740000	1,796034E-5
0,750000	1,796601E-5
0,760000	1,795854E-5
0,770000	1,795808E-5
0,780000	1,795687E-5
0,790000	1,795725E-5
0,800000	1,796036E-5
0,810000	1,795708E-5
0,820000	1,795544E-5
0,830000	1,795320E-5
0,840000	1,795300E-5
0,850000	1,795176E-5
0,860000	1,795213E-5
0,870000	1,795189E-5
0,880000	1,795158E-5
0,890000	1,795225E-5
0,900000	1,795222E-5
0,910000	1,795057E-5
0,920000	1,795183E-5
0,930000	1,795135E-5
0,940000	1,795206E-5
0,950000	1,795091E-5
0,960000	1,795034E-5
0,970000	1,795685E-5
0,980000	1,795074E-5
0,990000	1,795039E-5
1,000000	1,794974E-5
1,010000	1,795088E-5
1,020000	1,795105E-5
1,030000	1,795016E-5
1,040000	1,795080E-5
1,050000	1,795018E-5
1,060000	1,795046E-5
1,070000	1,795032E-5
1,080000	1,794858E-5
1,090000	1,794992E-5
1,100000	1,794906E-5
1,110000	1,794912E-5
1,120000	1,795053E-5
1,130000	1,795006E-5
1,140000	1,794927E-5
1,150000	1,794436E-5
1,160000	1,794429E-5
1,170000	1,794518E-5
1,180000	1,794519E-5
1,190000	1,794434E-5
1,200000	1,794553E-5
1,210000	1,794412E-5
1,220000	1,794521E-5
1,230000	1,794459E-5
1,240000	1,794518E-5
1,250000	1,794550E-5
1,260000	1,794436E-5
1,270000	1,794517E-5
1,280000	1,794439E-5
1,290000	1,794306E-5
1,300000	1,794444E-5
1,310000	1,794393E-5
1,320000	1,794328E-5
1,330000	1,794230E-5
1,340000	1,794459E-5
1,350000	1,794393E-5
1,360000	1,794257E-5
1,370000	1,794313E-5
1,380000	1,794135E-5
1,390000	1,794177E-5
1,400000	1,794313E-5
1,410000	1,794208E-5
1,420000	1,794173E-5
1,430000	1,794237E-5
1,440000	1,794115E-5
1,450000	1,794211E-5
1,460000	1,794214E-5
1,470000	1,794108E-5
1,480000	1,794347E-5
1,490000	1,794297E-5
1,500000	1,794286E-5
1,510000	1,794255E-5
1,520000	1,794065E-5
1,530000	1,793936E-5
1,540000	1,794060E-5
1,550000	1,794096E-5
1,560000	1,794036E-5
1,570000	1,793936E-5
1,580000	1,793930E-5
1,590000	1,793893E-5
1,600000	1,793870E-5
1,610000	1,793791E-5
1,620000	1,793781E-5
