Voltage[V]	Current[mA]
0.000000	6.482719E-8
0.001000	6.708977E-8
0.002000	5.535733E-8
0.003000	5.150241E-8
0.004000	7.087073E-8
0.005000	4.646173E-8
0.006000	4.124611E-8
0.007000	4.781364E-8
0.008000	7.403332E-8
0.009000	7.721049E-8
0.010000	8.408489E-8
0.011000	1.027918E-8
0.012000	8.322574E-8
0.013000	1.471065E-8
0.014000	3.615283E-8
0.015000	8.355455E-8
0.016000	2.643702E-8
0.017000	2.358057E-8
0.018000	2.052433E-8
0.019000	1.027305E-7
0.020000	9.735503E-8
0.021000	9.979116E-8
0.022000	1.582915E-8
0.023000	1.287968E-8
0.024000	4.318889E-10
0.025000	1.110345E-7
0.026000	5.268026E-9
0.027000	4.527879E-10
0.028000	1.363696E-8
0.029000	6.524851E-9
0.030000	1.184445E-7
0.031000	1.319269E-8
0.032000	7.554613E-9
0.033000	1.240469E-8
0.034000	1.327742E-7
0.035000	2.339316E-8
0.036000	2.228902E-8
0.037000	2.396336E-8
0.038000	2.877082E-8
0.039000	3.062257E-8
0.040000	4.201509E-8
0.041000	7.608422E-7
0.042000	3.248511E-7
0.043000	6.608397E-7
0.044000	5.291337E-8
0.045000	6.180439E-8
0.046000	6.734875E-7
0.047000	3.137826E-7
0.048000	6.796154E-7
0.049000	7.399059E-8
0.050000	6.293685E-7
0.051000	1.636208E-7
0.052000	7.753056E-8
0.053000	1.945967E-7
0.054000	9.144924E-8
0.055000	8.779695E-8
0.056000	2.090264E-7
0.057000	2.174342E-7
0.058000	1.108797E-7
0.059000	2.280365E-7
0.060000	2.226387E-7
0.061000	1.470728E-7
0.062000	1.370778E-7
0.063000	1.437839E-7
0.064000	1.451572E-7
0.065000	2.459443E-7
0.066000	2.566782E-7
0.067000	2.610784E-7
0.068000	2.728664E-7
0.069000	1.751638E-7
0.070000	2.765237E-7
0.071000	2.870472E-7
0.072000	1.876242E-7
0.073000	2.040808E-7
0.074000	3.087168E-7
0.075000	3.118817E-7
0.076000	2.250437E-7
0.077000	2.194093E-7
0.078000	3.360390E-7
0.079000	3.473464E-7
0.080000	2.652091E-7
0.081000	2.571753E-7
0.082000	2.607650E-7
0.083000	1.091752E-7
0.084000	8.082887E-7
0.085000	7.722190E-7
0.086000	7.738193E-7
0.087000	2.820368E-7
0.088000	1.282962E-7
0.089000	1.732230E-7
0.090000	2.414470E-7
0.091000	3.226889E-7
0.092000	1.993888E-7
0.093000	2.352667E-7
0.094000	6.748129E-7
0.095000	8.889705E-7
0.096000	1.221188E-6
0.097000	2.383651E-8
0.098000	6.554274E-7
0.099000	7.507530E-7
0.100000	9.230694E-7
0.101000	6.462241E-7
0.102000	7.636775E-7
0.103000	5.292004E-7
0.104000	9.043763E-7
0.105000	9.680294E-7
0.106000	8.058211E-7
0.107000	8.286166E-9
0.108000	5.739612E-8
0.109000	1.064637E-6
0.110000	1.054294E-6
0.111000	3.361824E-7
0.112000	2.822887E-7
0.113000	1.113173E-6
0.114000	1.502779E-6
0.115000	1.514326E-6
0.116000	1.424456E-6
0.117000	2.176435E-7
0.118000	5.047790E-7
0.119000	8.968975E-7
0.120000	3.211283E-7
0.121000	6.667242E-7
0.122000	2.815890E-7
0.123000	1.845394E-7
0.124000	3.930371E-7
0.125000	1.393052E-6
0.126000	1.765706E-6
0.127000	1.711482E-6
0.128000	4.574839E-7
0.129000	5.191476E-7
0.130000	7.255576E-7
0.131000	4.309869E-7
0.132000	1.278518E-6
0.133000	5.981255E-7
0.134000	1.683269E-6
0.135000	1.616739E-6
0.136000	1.954708E-6
0.137000	6.603821E-7
0.138000	8.144699E-7
0.139000	6.927276E-7
0.140000	6.956414E-7
0.141000	1.844960E-6
0.142000	1.231083E-6
0.143000	1.713425E-6
0.144000	2.085294E-6
0.145000	1.637483E-6
0.146000	1.003637E-6
0.147000	1.081554E-6
0.148000	1.230085E-6
0.149000	1.103807E-6
0.150000	1.108458E-6
0.151000	1.562194E-6
0.152000	1.211374E-6
0.153000	1.317187E-6
0.154000	1.268735E-6
0.155000	1.365062E-6
0.156000	1.414800E-6
0.157000	2.164160E-6
0.158000	1.539579E-6
0.159000	1.586103E-6
0.160000	1.621751E-6
0.161000	3.103194E-6
0.162000	2.662270E-6
0.163000	3.187203E-6
0.164000	3.216714E-6
0.165000	3.242740E-6
0.166000	2.800990E-6
0.167000	3.361334E-6
0.168000	3.020579E-6
0.169000	2.264438E-6
0.170000	2.871191E-6
0.171000	2.360613E-6
0.172000	2.628208E-6
0.173000	3.905162E-6
0.174000	2.695878E-6
0.175000	2.489378E-6
0.176000	3.720366E-6
0.177000	3.463747E-6
0.178000	4.272612E-6
0.179000	3.676409E-6
0.180000	3.107777E-6
0.181000	2.576962E-6
0.182000	2.563838E-6
0.183000	4.954795E-6
0.184000	3.360795E-6
0.185000	2.741277E-6
0.186000	4.822477E-6
0.187000	5.324368E-6
0.188000	2.971715E-6
0.189000	3.698794E-6
0.190000	5.408535E-6
0.191000	5.729822E-6
0.192000	4.912165E-6
0.193000	6.163193E-6
0.194000	6.398543E-6
0.195000	6.412795E-6
0.196000	7.009117E-6
0.197000	4.659565E-6
0.198000	4.808717E-6
0.199000	6.750549E-6
0.200000	6.713132E-6
0.201000	7.973335E-6
0.202000	8.412091E-6
0.203000	5.584213E-6
0.204000	8.171381E-6
0.205000	8.003791E-6
0.206000	5.835089E-6
0.207000	8.278109E-6
0.208000	5.964108E-6
0.209000	6.298867E-6
0.210000	8.521122E-6
0.211000	9.023881E-6
0.212000	9.195472E-6
0.213000	6.874931E-6
0.214000	7.627899E-6
0.215000	9.576761E-6
0.216000	9.023114E-6
0.217000	6.319203E-6
0.218000	1.001345E-5
0.219000	8.517476E-6
0.220000	9.724605E-6
0.221000	7.615609E-6
0.222000	7.169707E-6
0.223000	1.004224E-5
0.224000	8.568983E-6
0.225000	1.014393E-5
0.226000	1.031280E-5
0.227000	1.047176E-5
0.228000	1.126166E-5
0.229000	1.081154E-5
0.230000	1.188628E-5
0.231000	1.229645E-5
0.232000	1.198076E-5
0.233000	1.307409E-5
0.234000	1.221777E-5
0.235000	1.178632E-5
0.236000	1.220841E-5
0.237000	1.305995E-5
0.238000	1.122592E-5
0.239000	1.314597E-5
0.240000	1.236562E-5
0.241000	1.227803E-5
0.242000	1.324441E-5
0.243000	1.608325E-5
0.244000	1.417052E-5
0.245000	1.631691E-5
0.246000	1.543039E-5
0.247000	1.534455E-5
0.248000	1.529991E-5
0.249000	1.636671E-5
0.250000	1.597429E-5
0.251000	1.716504E-5
0.252000	1.762952E-5
0.253000	1.587607E-5
0.254000	1.764834E-5
0.255000	1.827603E-5
0.256000	1.798448E-5
0.257000	1.806867E-5
0.258000	1.907815E-5
0.259000	2.041056E-5
0.260000	2.040549E-5
0.261000	2.002738E-5
0.262000	0.002032
0.263000	0.002081
0.264000	0.203298
0.265000	0.208259
0.266000	0.213403
0.267000	0.218816
0.268000	0.224580
0.269000	0.233056
0.270000	0.235799
0.271000	0.242024
0.272000	0.247959
0.273000	0.254105
0.274000	0.260670
0.275000	0.267511
0.276000	0.274302
0.277000	0.281297
0.278000	0.288080
0.279000	0.295732
0.280000	0.303324
0.281000	0.311100
0.282000	0.318937
0.283000	0.327219
0.284000	0.335920
0.285000	0.344637
0.286000	0.353379
0.287000	0.362574
0.288000	0.372001
0.289000	0.381624
0.290000	0.391501
0.291000	0.402099
0.292000	0.412514
0.293000	0.423345
0.294000	0.434668
0.295000	0.445735
0.296000	0.457834
0.297000	0.469895
0.298000	0.482310
0.299000	0.495175
0.300000	0.508645
0.301000	0.521967
0.302000	0.536330
0.303000	0.550467
0.304000	0.565571
0.305000	0.580697
0.306000	0.596346
0.307000	0.612716
0.308000	0.629424
0.309000	0.646397
0.310000	0.664191
0.311000	0.682395
0.312000	0.701244
0.313000	0.720665
0.314000	0.740644
0.315000	0.761161
0.316000	0.782250
0.317000	0.804345
0.318000	0.826486
0.319000	0.849709
0.320000	0.873880
0.321000	0.898350
0.322000	0.923951
0.323000	0.950562
0.324000	0.982631
0.325000	1.010676
0.326000	1.039685
0.327000	1.069511
0.328000	1.100245
0.329000	1.131962
0.330000	1.164760
0.331000	1.198871
0.332000	1.232922
0.333000	1.269659
0.334000	1.306847
0.335000	1.345259
0.336000	1.385060
0.337000	1.425898
0.338000	1.468400
0.339000	1.511979
0.340000	1.556878
0.341000	1.603362
0.342000	1.651937
0.343000	1.701508
0.344000	1.752474
0.345000	1.805431
0.346000	1.860241
0.347000	1.917007
0.348000	1.975846
0.349000	2.036136
0.350000	2.098937
0.351000	2.163340
0.352000	2.230270
0.353000	2.299202
0.354000	2.370545
0.355000	2.444513
0.356000	2.521373
0.357000	2.600039
0.358000	2.682035
0.359000	2.766348
0.360000	2.854222
0.361000	2.944812
0.362000	3.038197
0.363000	3.134869
0.364000	3.234749
0.365000	3.339097
0.366000	3.446423
0.367000	3.556966
0.368000	3.672386
0.369000	3.791618
0.370000	3.915052
0.371000	4.041740
0.372000	4.174033
0.373000	4.310449
0.374000	4.452376
0.375000	4.599469
0.376000	4.751230
0.377000	4.908024
0.378000	5.071348
0.379000	5.238940
0.380000	5.415610
0.381000	5.595790
0.382000	5.783502
0.383000	5.978992
0.384000	6.180613
0.385000	6.389067
0.386000	6.606886
0.387000	6.831493
0.388000	7.065323
0.389000	7.306708
0.390000	7.556713
0.391000	7.816975
0.392000	8.085362
0.393000	8.365738
0.394000	8.700093
