Voltage[V]	Current[mA]
50,000000	6,699387E-6
50,010000	5,486167E-6
50,020000	4,051680E-6
50,030000	5,492606E-6
50,040000	6,886324E-6
50,050000	4,134832E-6
50,060000	4,100516E-6
50,070000	4,297161E-6
50,080000	5,345310E-6
50,090000	7,186651E-6
50,100000	5,130266E-6
50,110000	4,058539E-6
50,120000	4,538397E-6
50,130000	7,136838E-6
50,140000	6,599073E-6
50,150000	4,542148E-6
50,160000	4,461874E-6
50,170000	4,350716E-6
50,180000	7,192228E-6
50,190000	6,167867E-6
50,200000	4,545777E-6
50,210000	4,492782E-6
50,220000	4,430310E-6
50,230000	7,273230E-6
50,240000	6,969884E-6
50,250000	5,837542E-6
50,260000	4,175096E-6
50,270000	5,638245E-6
50,280000	6,431915E-6
50,290000	3,986867E-6
50,300000	4,483343E-6
50,310000	7,138679E-6
50,320000	7,078781E-6
50,330000	4,031536E-6
50,340000	4,571734E-6
50,350000	7,317508E-6
50,360000	6,231602E-6
50,370000	6,234616E-6
50,380000	4,592973E-6
50,390000	4,570117E-6
50,400000	7,238581E-6
50,410000	7,089564E-6
50,420000	4,229634E-6
50,430000	4,585616E-6
50,440000	4,539894E-6
50,450000	7,252401E-6
50,460000	6,707753E-6
50,470000	4,584431E-6
50,480000	4,545318E-6
50,490000	7,161015E-6
50,500000	6,709092E-6
50,510000	6,932947E-6
50,520000	7,241512E-6
50,530000	4,643545E-6
50,540000	4,622085E-6
50,550000	7,217780E-6
50,560000	5,189189E-6
50,570000	4,632686E-6
50,580000	4,646239E-6
50,590000	4,644349E-6
50,600000	4,648959E-6
50,610000	4,652469E-6
50,620000	4,675402E-6
50,630000	4,700242E-6
50,640000	4,720491E-6
50,650000	4,724056E-6
50,660000	4,685177E-6
50,670000	4,694558E-6
50,680000	4,740004E-6
50,690000	4,732311E-6
50,700000	4,709664E-6
50,710000	4,740272E-6
50,720000	4,749351E-6
50,730000	4,753162E-6
50,740000	4,728457E-6
50,750000	4,747760E-6
50,760000	4,755921E-6
50,770000	4,770417E-6
50,780000	4,765882E-6
50,790000	4,769172E-6
50,800000	4,762972E-6
50,810000	4,800830E-6
50,820000	4,808399E-6
50,830000	4,779835E-6
50,840000	4,782398E-6
50,850000	4,873924E-6
50,860000	4,759130E-6
50,870000	6,793151E-6
50,880000	4,612119E-6
50,890000	5,633582E-6
50,900000	4,593638E-6
50,910000	7,813407E-6
50,920000	6,668358E-6
50,930000	4,928996E-6
50,940000	4,802048E-6
50,950000	4,832244E-6
50,960000	4,280902E-6
50,970000	4,210607E-6
50,980000	4,222121E-6
50,990000	4,556061E-6
51,000000	4,832777E-6
51,010000	4,279894E-6
51,020000	5,914418E-6
51,030000	4,654934E-6
51,040000	7,374353E-6
51,050000	7,982378E-6
51,060000	5,819237E-6
51,070000	6,665818E-6
51,080000	7,995157E-6
51,090000	7,989820E-6
51,100000	5,577840E-6
51,110000	6,827071E-6
51,120000	7,431048E-6
51,130000	7,105605E-6
