Voltage[V]	Current[mA]
50.000000	4.724185E-6
50.010000	3.408467E-6
50.020000	3.374382E-6
50.030000	4.722621E-6
50.040000	2.913570E-6
50.050000	2.995710E-6
50.060000	4.731386E-6
50.070000	2.779804E-6
50.080000	3.463867E-6
50.090000	4.739078E-6
50.100000	3.282175E-6
50.110000	3.042000E-6
50.120000	4.615779E-6
50.130000	2.879484E-6
50.140000	4.204847E-6
50.150000	4.220025E-6
50.160000	3.083587E-6
50.170000	4.802641E-6
50.180000	2.891653E-6
50.190000	3.063231E-6
50.200000	4.734525E-6
50.210000	3.760271E-6
50.220000	3.091992E-6
50.230000	4.669416E-6
50.240000	4.378166E-6
50.250000	3.110488E-6
50.260000	4.788871E-6
50.270000	4.455845E-6
50.280000	3.194556E-6
50.290000	3.799543E-6
50.300000	4.773664E-6
50.310000	3.950310E-6
50.320000	3.216638E-6
50.330000	4.422009E-6
50.340000	4.949992E-6
50.350000	2.993877E-6
50.360000	3.163817E-6
50.370000	4.891142E-6
50.380000	3.461956E-6
50.390000	3.184464E-6
50.400000	4.917621E-6
50.410000	4.136610E-6
50.420000	3.183365E-6
50.430000	4.998996E-6
50.440000	3.759184E-6
50.450000	3.219264E-6
50.460000	5.024370E-6
50.470000	3.053334E-6
50.480000	3.266547E-6
50.490000	4.946283E-6
50.500000	3.307544E-6
50.510000	3.508423E-6
50.520000	3.406653E-6
50.530000	4.693093E-6
50.540000	5.028927E-6
50.550000	3.523089E-6
50.560000	4.967605E-6
50.570000	3.332405E-6
50.580000	4.918128E-6
50.590000	4.797718E-6
50.600000	5.046809E-6
50.610000	5.092638E-6
50.620000	3.304709E-6
50.630000	4.771705E-6
50.640000	3.431286E-6
50.650000	4.606373E-6
50.660000	3.366148E-6
50.670000	5.198673E-6
50.680000	3.374874E-6
50.690000	4.271259E-6
50.700000	3.422995E-6
50.710000	3.910212E-6
50.720000	5.065288E-6
50.730000	5.172394E-6
50.740000	3.857911E-6
50.750000	5.274618E-6
50.760000	3.413102E-6
50.770000	5.244346E-6
50.780000	3.457978E-6
50.790000	5.122891E-6
50.800000	3.497419E-6
50.810000	5.105828E-6
50.820000	4.574674E-6
50.830000	3.519827E-6
50.840000	5.370651E-6
50.850000	4.225069E-6
50.860000	3.214842E-6
50.870000	5.388345E-6
50.880000	3.398794E-6
50.890000	5.406507E-6
50.900000	4.218980E-6
50.910000	3.555010E-6
50.920000	4.677532E-6
50.930000	5.270262E-6
50.940000	3.502145E-6
50.950000	5.100889E-6
50.960000	3.533998E-6
50.970000	5.202981E-6
50.980000	4.865005E-6
50.990000	5.505064E-6
51.000000	3.734295E-6
51.010000	3.843359E-6
51.020000	4.223926E-6
51.030000	3.584504E-6
51.040000	3.565021E-6
51.050000	5.574945E-6
51.060000	4.493801E-6
51.070000	4.906739E-6
51.080000	3.691000E-6
51.090000	4.974838E-6
51.100000	4.138387E-6
51.110000	3.591465E-6
51.120000	4.762378E-6
51.130000	3.712586E-6
51.140000	5.714737E-6
51.150000	3.347902E-6
51.160000	5.734274E-6
51.170000	4.057854E-6
51.180000	3.724233E-6
51.190000	5.768191E-6
51.200000	3.778082E-6
51.210000	3.679994E-6
51.220000	4.280683E-6
51.230000	3.786977E-6
51.240000	3.711502E-6
51.250000	5.891667E-6
51.260000	5.074866E-6
51.270000	3.762579E-6
51.280000	5.975182E-6
51.290000	5.804532E-6
51.300000	3.544446E-6
51.310000	6.049051E-6
51.320000	4.417573E-6
51.330000	3.976015E-6
51.340000	6.021278E-6
51.350000	4.966112E-6
51.360000	3.763593E-6
51.370000	4.020273E-6
51.380000	5.559861E-6
51.390000	6.345765E-6
51.400000	4.039769E-6
51.410000	6.730347E-6
51.420000	4.254717E-6
51.430000	6.982188E-6
51.440000	4.511661E-6
51.450000	7.177979E-6
51.460000	4.632670E-6
51.470000	7.335125E-6
51.480000	5.733813E-6
51.490000	4.975311E-6
51.500000	5.364171E-6
51.510000	7.696649E-6
51.520000	5.776379E-6
51.530000	8.278866E-6
51.540000	8.187852E-6
51.550000	8.380757E-6
51.560000	5.394017E-6
51.570000	6.503972E-6
51.580000	8.990309E-6
51.590000	7.328395E-6
51.600000	9.275807E-6
51.610000	7.732173E-6
51.620000	9.152339E-6
51.630000	7.551157E-6
51.640000	1.044365E-5
51.650000	9.619329E-6
51.660000	1.015548E-5
51.670000	1.132457E-5
51.680000	1.171832E-5
51.690000	8.902282E-6
51.700000	1.154996E-5
51.710000	1.175821E-5
51.720000	1.262017E-5
51.730000	1.320610E-5
51.740000	1.240692E-5
51.750000	1.382616E-5
51.760000	1.334624E-5
51.770000	1.416680E-5
51.780000	1.371546E-5
51.790000	1.571667E-5
51.800000	1.559711E-5
51.810000	1.742951E-5
51.820000	1.747027E-5
51.830000	1.673946E-5
51.840000	1.746969E-5
51.850000	1.802005E-5
51.860000	1.959252E-5
51.870000	2.028162E-5
51.880000	2.027951E-5
51.890000	2.022199E-5
51.900000	2.080620E-5
51.910000	2.165748E-5
51.920000	2.247884E-5
51.930000	2.327265E-5
51.940000	2.416537E-5
51.950000	2.449057E-5
51.960000	2.567437E-5
51.970000	2.616853E-5
51.980000	2.702504E-5
51.990000	2.759698E-5
52.000000	2.859337E-5
52.010000	2.962929E-5
52.020000	3.025896E-5
52.030000	3.086505E-5
52.040000	3.209780E-5
52.050000	3.285370E-5
52.060000	3.351641E-5
52.070000	3.462731E-5
52.080000	3.568259E-5
52.090000	3.638917E-5
52.100000	3.884224E-5
52.110000	3.953079E-5
52.120000	4.103206E-5
52.130000	4.174423E-5
52.140000	4.284701E-5
52.150000	4.391810E-5
52.160000	4.513479E-5
52.170000	4.620416E-5
52.180000	4.715322E-5
52.190000	4.795292E-5
52.200000	4.898274E-5
52.210000	5.014687E-5
52.220000	5.113177E-5
52.230000	5.278061E-5
52.240000	5.347067E-5
52.250000	5.513285E-5
52.260000	5.619993E-5
52.270000	5.720185E-5
52.280000	5.825624E-5
52.290000	5.972576E-5
52.300000	6.089000E-5
52.310000	6.189472E-5
52.320000	6.274880E-5
52.330000	6.464095E-5
52.340000	6.542871E-5
52.350000	6.739845E-5
52.360000	6.778027E-5
52.370000	6.878012E-5
52.380000	7.037324E-5
52.390000	7.172250E-5
52.400000	7.337169E-5
52.410000	7.463478E-5
52.420000	7.556054E-5
52.430000	7.653508E-5
52.440000	7.788394E-5
52.450000	7.944809E-5
52.460000	8.109524E-5
52.470000	8.205218E-5
52.480000	8.359603E-5
52.490000	8.499318E-5
52.500000	8.681401E-5
52.510000	8.817678E-5
52.520000	8.961133E-5
52.530000	9.098907E-5
52.540000	9.162687E-5
52.550000	9.424853E-5
52.560000	9.539141E-5
52.570000	9.849850E-5
52.580000	9.978486E-5
52.590000	0.000101
52.600000	0.000104
52.610000	0.000105
52.620000	0.000106
52.630000	0.000107
52.640000	0.000109
52.650000	0.000111
52.660000	0.000112
52.670000	0.000114
52.680000	0.000117
52.690000	0.000118
52.700000	0.000119
52.710000	0.000120
52.720000	0.000123
52.730000	0.000124
52.740000	0.000120
52.750000	0.000121
52.760000	0.000122
52.770000	0.000125
52.780000	0.000126
52.790000	0.000127
52.800000	0.000129
52.810000	0.000131
52.820000	0.000134
52.830000	0.000135
52.840000	0.000138
52.850000	0.000138
52.860000	0.000140
52.870000	0.000141
52.880000	0.000144
52.890000	0.000144
52.900000	0.000148
52.910000	0.000149
52.920000	0.000151
52.930000	0.000152
52.940000	0.000154
52.950000	0.000155
52.960000	0.000158
52.970000	0.000159
52.980000	0.000161
52.990000	0.000162
53.000000	0.000165
