Voltage[V]	Current[mA]
51.700000	7.504751E-6
51.701000	8.422270E-6
51.702000	8.829608E-6
51.703000	9.863548E-6
51.704000	1.016620E-5
51.705000	9.926650E-6
51.706000	7.365101E-6
51.707000	8.436563E-6
51.708000	9.141877E-6
51.709000	8.528183E-6
51.710000	8.603678E-6
51.711000	1.041096E-5
51.712000	1.057314E-5
51.713000	9.164054E-6
51.714000	8.818337E-6
51.715000	7.995606E-6
51.716000	9.106857E-6
51.717000	7.448753E-6
51.718000	9.966973E-6
51.719000	1.070749E-5
51.720000	9.671830E-6
51.721000	7.694241E-6
51.722000	9.244761E-6
51.723000	9.184414E-6
51.724000	1.051336E-5
51.725000	1.075498E-5
51.726000	9.436420E-6
51.727000	7.360117E-6
51.728000	9.204461E-6
51.729000	9.689459E-6
51.730000	9.472841E-6
51.731000	1.011600E-5
51.732000	1.093364E-5
51.733000	1.092562E-5
51.734000	9.829496E-6
51.735000	8.637309E-6
51.736000	7.609145E-6
51.737000	8.922351E-6
51.738000	1.044838E-5
51.739000	1.015297E-5
51.740000	1.117083E-5
51.741000	1.119237E-5
51.742000	1.120432E-5
51.743000	1.001971E-5
51.744000	7.499415E-6
51.745000	1.013093E-5
51.746000	1.076242E-5
51.747000	1.088569E-5
51.748000	1.088337E-5
51.749000	1.178165E-5
51.750000	1.166834E-5
51.751000	9.742045E-6
51.752000	1.092932E-5
51.753000	1.096097E-5
51.754000	1.092576E-5
51.755000	1.212628E-5
51.756000	1.214539E-5
51.757000	1.184225E-5
51.758000	9.599624E-6
51.759000	1.056925E-5
51.760000	1.140816E-5
51.761000	1.115645E-5
51.762000	1.172598E-5
51.763000	1.216273E-5
51.764000	1.206904E-5
51.765000	1.192268E-5
51.766000	1.168987E-5
51.767000	9.119001E-6
51.768000	1.171564E-5
51.769000	1.238700E-5
51.770000	1.244359E-5
51.771000	1.213440E-5
51.772000	9.963195E-6
51.773000	1.195107E-5
51.774000	1.159628E-5
51.775000	1.268290E-5
51.776000	1.286148E-5
51.777000	1.035962E-5
51.778000	1.197879E-5
51.779000	1.235501E-5
51.780000	1.216587E-5
51.781000	1.219188E-5
51.782000	1.276217E-5
51.783000	1.277392E-5
51.784000	1.284733E-5
51.785000	1.016551E-5
51.786000	1.158035E-5
51.787000	1.262113E-5
51.788000	1.247878E-5
51.789000	1.292760E-5
51.790000	1.309593E-5
51.791000	1.310226E-5
51.792000	1.276352E-5
51.793000	1.196566E-5
51.794000	1.075256E-5
51.795000	1.072968E-5
51.796000	1.275744E-5
51.797000	1.311689E-5
51.798000	1.242574E-5
51.799000	1.335303E-5
51.800000	1.351773E-5
51.801000	1.344682E-5
51.802000	1.333668E-5
51.803000	1.126719E-5
51.804000	1.231845E-5
51.805000	1.249683E-5
51.806000	1.251991E-5
51.807000	1.263465E-5
51.808000	1.382193E-5
51.809000	1.389296E-5
51.810000	1.309541E-5
