Voltage[V]	Current[mA]
52,000000	0,007842
52,100000	0,008376
52,200000	0,008882
52,300000	0,009364
52,400000	0,009836
52,500000	0,010299
52,600000	0,010799
52,700000	0,011213
52,800000	0,011568
52,900000	0,011660
53,000000	0,011213
53,100000	0,010437
53,200000	0,009987
53,300000	0,009982
53,400000	0,010139
53,500000	0,010384
53,600000	0,010395
53,700000	0,010723
53,800000	0,011072
53,900000	0,011498
54,000000	0,011811
54,100000	0,012191
54,200000	0,012545
54,300000	0,012982
54,400000	0,013312
54,500000	0,013769
54,600000	0,014098
54,700000	0,014463
54,800000	0,014819
54,900000	0,015177
55,000000	0,015387
